contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C1,Limbus vs cornea,CENPT,-7.4272247897367825,1.108998043255951e-13,56,3.2271843058748176e-11,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZFPM2,7.28751487851291,3.157244484315566e-13,401,4.5937907246791486e-11,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZEB2,7.126265861862572,1.0312843178002796e-12,377,1.0003457882662712e-10,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF532,6.989982101338158,2.7492131523867912e-12,384,2.0000525683613907e-10,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TERF2,-6.8579985807142245,6.9831952988211974e-12,16,4.0642196639139373e-10,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,EBF1,6.733966928211689,1.6509871951627182e-11,588,8.007287896539184e-10,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,GLMP,6.649091672948136,2.949072844450084e-11,174,1.1272654309594105e-9,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,PLAGL1,6.641787689508282,3.099011494046489e-11,388,1.1272654309594105e-9,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF687,-6.517391860230001,7.154036058223946e-11,27,2.3131383254924095e-9,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MEF2C,6.47145710205625,9.706231644354172e-11,552,2.824513408507064e-9,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZEB1,6.403214514498859,1.5213919628996742e-10,97,4.024773283670956e-9,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF91,-6.356995640656006,2.057378292357216e-10,240,4.962954260915917e-9,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,KLF12,6.345494073400536,2.2171273330552208e-10,296,4.962954260915917e-9,Activated in limbus,NES = regulon activity; not transcript abundance
